gene,Erastin AUC to expression,RSL3 AUC to expression,FIN56 AUC to expression,Erastin AUC to Depscore,RSL3 AUC to Depscore,FIN56 AUC to Depscore
KIAA1586,-0.4569982159884877,-0.5038209953861711,-0.44110019322733113,0.577919752477021,0.6483662663218938,0.4892004333599669
RAB4A,0.3219539479320412,0.23472150937384684,0.3626190342897322,0.052405550976833984,-0.12239599976427101,-0.055541013261244054
OR1F1,-0.5892021167226564,-0.2747743295416339,-0.1643881637437743,-0.2616393861500908,0.19881944386446784,0.25008011179999085
OR2B2,0.24331616679222923,0.11757936610594336,0.2593768858478118,-0.4056922699551688,-0.20291434361298882,-0.06847269789870379
KCNJ4,0.1059085214638774,0.11965070915079767,0.23408998406369397,0.37007563558490447,0.5677086824088442,0.458589395815217
SETD5,-0.10623258617586948,-0.16966060854106876,-0.12682575991424772,-0.013610331679677515,0.2019114362510392,0.2530412612307928
VASN,-0.08896895210684748,0.03544158201086278,0.10259294214020895,-0.31508849659865173,0.09362347477983302,0.07291240801456304
FAM83B,0.2790846650745562,0.198177444114232,0.35677364433033637,-0.06415353881345723,0.037940505020562655,-0.17167621637920832
H3-4,0.3886565215576707,0.6586756090623646,0.5091912968338117,NA,NA,NA
THAP9,-0.11075880809585227,-0.14623739926802679,-0.07486383945437192,-0.28134095591446034,-0.32753930119537794,0.11197109732285222
OR2C1,-0.10180541429980401,0.1874383419235401,0.2251195009347797,-0.5584436838761975,-0.25314015118363487,0.052572212585234736
RNF187,0.3483830267547867,0.611552646377874,0.721720406775209,NA,NA,NA
HOOK3,-0.2991026108558992,-0.30267393317405883,-0.08648429423214674,0.5631715590759574,0.6498791583299289,0.5235156314099533
MAPK1IP1L,0.0031884258834702587,-0.31815131566869304,-0.5109137804335995,0.45799043721648386,0.24379037284353872,0.042039308870563216
DDIT4,-0.08401369250976826,-0.10019035510633495,0.11430788592605691,0.1109936359685545,0.3021366801046903,0.1936860834922329
RBPJ,-0.7282392839416335,-0.7917764008776979,-0.8033344394546144,0.27726237095864326,-0.0605516876624352,-0.4202265643381609
LMBRD1,0.504670559617672,0.44324159979388145,0.4230359393510994,-0.16120024556697407,-0.3922648659659974,-0.24662575390976768
ZCCHC4,-0.6807712838132236,-0.5658873156622881,-0.5733625012399701,-0.3994560604271556,-0.41225299313609653,-0.3007592418732108
PTGDR,-0.09784557305868788,-0.01128271416596282,0.06879314497110627,-0.19284081251599977,-0.2386739745180998,0.14553058279164674
TTC39C,0.024286107236886702,-0.23774512444808088,-0.22481607077152485,-0.19184952076364203,0.10494027335383047,0.09772633187060162
GLYCTK,0.04029615246648983,-0.04872499003969513,-0.1223992011591125,-0.01464597564157767,0.02368997588986194,0.24535875903738058
GNG4,-0.5004564945496222,-0.4487468456806499,-0.053929046777889796,0.5551740358248041,0.47883888168378125,0.3792392944776775
UBTD2,-0.7223026135966198,-0.5174187301366125,-0.25916148039039777,0.31017848254387365,0.1708590297148916,0.016104038233194774
NKIRAS2,0.14951170821490584,0.2713060062413776,0.0959777640496723,0.14454208697838725,0.23336312329610193,0.07045274556109316
DNAJC7,-0.12715835914545578,0.012673196292316068,-0.12744442490920962,0.10225967873625084,-0.29013383678098253,-0.2488179088833028
KCNV2,-0.3241133455376101,-0.11660171559710826,-0.12243127578553355,-0.7393596039834284,-0.6503956464330116,-0.40259842301413973
IRF2BP2,0.24438284239074656,0.23179508690144818,0.2849216172484241,0.3202729425280792,0.5701523277660243,0.4029546652864367
NT5DC2,-0.08475080300471174,0.13930179604228074,0.24863395088163232,-0.05002322558899644,0.42271001438031025,0.5371338461506244
FOXI1,-0.14134846474738166,0.020197392890973716,0.22860148285538565,0.2693995104036722,0.25730514262836107,-0.004675827474277638
SMIM4,-0.21945281370493347,-0.43178586116820694,-0.2649876358685557,0.25108409826595746,0.1173376045668401,-0.19675992642083442
COA6,-0.12176064618641237,0.00786263902143131,0.035622328425435834,-0.27935234792208186,0.1471038138084506,0.10687352035157813
KIF5C,0.5066590607692542,0.46920525878324354,0.5429503422337846,NA,NA,NA
MGAT2,0.113470427373034,-0.21485868009231748,-0.25919179636200873,0.09060541686267772,0.39482410974178345,0.379082336629473
BMI1,-0.3142340211972743,-0.5345087994849662,-0.44208581671858704,0.467233359628783,0.26400554173038754,-0.10822466798716653
THAP11,0.5116700639633133,0.2254388336298047,0.291140960245949,0.1621375833501758,0.056567863344695636,0.20077758444794286
MMADHC,-0.054690037832024696,-0.2207929987886022,-0.1361711932765019,-0.2642784276712267,-0.17908933596004617,-0.28923274692434137
PDHB,-0.0028169079944227095,0.07633025504784928,-0.09057599497301415,-0.5601257943588198,-0.4347402436649054,-0.37264431482462046
PXK,-0.4093979665073683,-0.4040770317162211,-0.5309290609508325,0.21629945645949003,0.21883548174847367,0.017093240119062252
H1-4,0.3136187866269268,-0.07261500736605661,-0.2835990540812719,NA,NA,NA
PCMTD1,-0.24305069660366074,-0.14678132891418522,0.12782572147594393,0.37035547539204144,0.39381754553566606,0.29246620592956324
KCTD6,-0.003948587059597343,0.0828725466169183,-0.11552584691339254,0.23356039531272496,0.08208106162990923,0.04444266022228526
MPLKIP,-0.5532897477021075,-0.5511009704751287,-0.4098467085620012,0.48443004833493636,0.6058955906078717,0.6361924132716349
ACOX2,-0.061604480101957286,0.2014094482198241,-0.14834531419684963,0.05403993441965961,0.1491062853492252,0.1844364537224131
FAM107A,-0.4111053544389616,-0.5860437551458307,-0.5563983929765266,-0.31546401005187924,-0.37350535803754975,-0.24464918681966477
IRF2,-0.715965424205698,-0.6420073522413225,-0.3099741109289462,0.2677510364723752,0.1698765316968456,-0.22845172047802212
